,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Loc_ABS_Statistical_Area_4,Loc_Federal_Electorate,Loc_ABS_Remoteness,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Crash_Speed_Limit,Crash_Date
96,2001,January,Wednesday,19,Multi-Vehicle,152.97280790000002,-27.41276096,Brisbane - West,Brisbane,Major cities,0,1,0,0,1,60 km/h,200101
97,2001,January,Wednesday,14,Single Vehicle,153.51630319999998,-28.164079100000002,Gold Coast,Mcpherson,Major cities,0,0,1,0,1,70 km/h,200101
98,2001,January,Wednesday,13,Multi-Vehicle,153.30492959999998,-27.87020268,Gold Coast,Fadden,Major cities,0,0,0,0,0,60 km/h,200101
99,2001,January,Wednesday,15,Multi-Vehicle,153.1039082,-26.66158756,Sunshine Coast,Fairfax,Major cities,0,0,0,0,0,60 km/h,200101
100,2001,January,Wednesday,15,Multi-Vehicle,153.06746619999998,-26.39864463,Sunshine Coast,Wide Bay,Major cities,0,0,1,0,1,0 - 50 km/h,200101
101,2001,January,Wednesday,14,Multi-Vehicle,153.4149634,-27.97029449,Gold Coast,Moncrieff,Major cities,0,0,0,0,0,0 - 50 km/h,200101
102,2001,January,Wednesday,1,Single Vehicle,152.8348398,-27.00661426,Moreton Bay - North,Fisher,Inner regional,0,0,0,0,0,80 - 90 km/h,200101
103,2001,January,Wednesday,14,Single Vehicle,152.9858882,-27.72289013,Logan - Beaudesert,Forde,Major cities,0,1,0,0,1,70 km/h,200101
104,2001,January,Wednesday,5,Single Vehicle,152.72001809999998,-27.95893585,Ipswich,Blair,Inner regional,0,0,0,0,0,100 - 110 km/h,200101
105,2001,January,Wednesday,16,Multi-Vehicle,153.4339315,-28.10179522,Gold Coast,Mcpherson,Major cities,0,0,2,0,2,60 km/h,200101
106,2001,January,Wednesday,10,Multi-Vehicle,153.4286535,-28.12585394,Gold Coast,Mcpherson,Major cities,0,0,0,0,0,60 km/h,200101
107,2001,January,Wednesday,9,Multi-Vehicle,152.47191819999998,-27.56255674,Ipswich,Blair,Inner regional,0,0,0,0,0,100 - 110 km/h,200101
108,2001,January,Wednesday,17,Multi-Vehicle,152.82765880000002,-25.278953100000003,Wide Bay,Hinkler,Inner regional,0,0,0,0,0,60 km/h,200101
109,2001,January,Wednesday,11,Multi-Vehicle,151.8367159,-26.53615671,Wide Bay,Maranoa,Inner regional,0,1,0,0,1,60 km/h,200101
110,2001,January,Wednesday,18,Single Vehicle,152.68939609999998,-25.52080347,Wide Bay,Wide Bay,Inner regional,0,0,0,0,0,60 km/h,200101
111,2001,January,Wednesday,11,Single Vehicle,152.495683,-25.52641956,Wide Bay,Hinkler,Inner regional,0,0,0,0,0,80 - 90 km/h,200101
112,2001,January,Wednesday,12,Multi-Vehicle,151.68330319999998,-26.82939003,Wide Bay,Maranoa,Outer regional,0,0,0,4,4,100 - 110 km/h,200101
113,2001,January,Wednesday,21,Multi-Vehicle,151.94718419999998,-27.56813169,Toowoomba,Groom,Inner regional,0,0,0,1,1,60 km/h,200101
114,2001,January,Wednesday,15,Single Vehicle,149.8368801,-26.23989229,Darling Downs - Maranoa,Flynn,Remote,0,1,0,0,1,100 - 110 km/h,200101
